Hour,Device_type,Period,Sessions
8,mobile,Sunday,"41,275"
9,mobile,Sunday,"35,425"
10,mobile,Sunday,"26,547"
11,mobile,Sunday,"21,931"
12,mobile,Sunday,"21,343"
13,mobile,Sunday,"20,256"
14,mobile,Sunday,"18,403"
15,mobile,Sunday,"19,785"
16,mobile,Sunday,"21,196"
17,mobile,Sunday,"23,431"
18,mobile,Sunday,"25,018"
19,mobile,Sunday,"25,753"
20,mobile,Sunday,"28,546"
21,mobile,Sunday,"29,692"
22,mobile,Sunday,"24,401"
23,mobile,Sunday,"11,318"
0,mobile,All days,"33,103"
1,mobile,All days,"14,111"
2,mobile,All days,"7,733"
3,mobile,All days,"6,792"
4,mobile,All days,"7,261"
5,mobile,All days,"25,753"
6,mobile,All days,"79,965"
7,mobile,All days,"125,089"
8,mobile,All days,"165,100"
9,mobile,All days,"130,677"
10,mobile,All days,"107,187"
11,mobile,All days,"104,040"
12,mobile,All days,"110,862"
13,mobile,All days,"111,331"
14,mobile,All days,"97,396"
15,mobile,All days,"99,749"
16,mobile,All days,"113,537"
17,mobile,All days,"136,586"
18,mobile,All days,"139,466"
19,mobile,All days,"134,792"
20,mobile,All days,"156,166"
21,mobile,All days,"158,605"
22,mobile,All days,"123,563"
23,mobile,All days,"65,116"
0,tablet,Mon - Thu,"7,556"
1,tablet,Mon - Thu,"2,558"
2,tablet,Mon - Thu,"1,441"
3,tablet,Mon - Thu,"1,587"
4,tablet,Mon - Thu,"2,705"
5,tablet,Mon - Thu,"15,464"
6,tablet,Mon - Thu,"47,450"
7,tablet,Mon - Thu,"57,327"
8,tablet,Mon - Thu,"42,128"
9,tablet,Mon - Thu,"30,633"
10,tablet,Mon - Thu,"23,314"
11,tablet,Mon - Thu,"22,783"
12,tablet,Mon - Thu,"25,370"
13,tablet,Mon - Thu,"26,340"
14,tablet,Mon - Thu,"26,077"
15,tablet,Mon - Thu,"28,075"
16,tablet,Mon - Thu,"41,040"
17,tablet,Mon - Thu,"61,854"
18,tablet,Mon - Thu,"70,879"
19,tablet,Mon - Thu,"63,295"
20,tablet,Mon - Thu,"66,088"
21,tablet,Mon - Thu,"65,617"
22,tablet,Mon - Thu,"43,098"
23,tablet,Mon - Thu,"17,522"
0,tablet,Friday,"1,940"
1,tablet,Friday,853
2,tablet,Friday,559
3,tablet,Friday,529
4,tablet,Friday,647
5,tablet,Friday,"2,528"
6,tablet,Friday,"8,878"
7,tablet,Friday,"10,877"
8,tablet,Friday,"8,026"
9,tablet,Friday,"6,350"
10,tablet,Friday,"4,704"
11,tablet,Friday,"4,645"
12,tablet,Friday,"5,262"
13,tablet,Friday,"5,556"
14,tablet,Friday,"4,968"
15,tablet,Friday,"5,027"
16,tablet,Friday,"7,408"
17,tablet,Friday,"9,643"
18,tablet,Friday,"10,525"
19,tablet,Friday,"10,819"
20,tablet,Friday,"11,407"
21,tablet,Friday,"9,848"
22,tablet,Friday,"6,967"
23,tablet,Friday,"4,263"
0,tablet,Saturday,"2,028"
1,tablet,Saturday,970
2,tablet,Saturday,441
3,tablet,Saturday,294
4,tablet,Saturday,470
5,tablet,Saturday,"1,000"
6,tablet,Saturday,"4,057"
7,tablet,Saturday,"9,084"
8,tablet,Saturday,"12,818"
9,tablet,Saturday,"10,966"
10,tablet,Saturday,"8,349"
11,tablet,Saturday,"7,144"
12,tablet,Saturday,"7,350"
13,tablet,Saturday,"7,144"
14,tablet,Saturday,"6,673"
15,tablet,Saturday,"7,144"
16,tablet,Saturday,"7,497"
17,tablet,Saturday,"9,408"
18,tablet,Saturday,"8,702"
19,tablet,Saturday,"9,437"
20,tablet,Saturday,"7,791"
21,tablet,Saturday,"7,908"
22,tablet,Saturday,"6,791"
23,tablet,Saturday,"3,763"
0,tablet,Sunday,"2,411"
1,tablet,Sunday,"1,000"
2,tablet,Sunday,382
3,tablet,Sunday,265
4,tablet,Sunday,265
5,tablet,Sunday,647
6,tablet,Sunday,"2,822"
7,tablet,Sunday,"8,996"
8,tablet,Sunday,"17,874"
9,tablet,Sunday,"17,933"
10,tablet,Sunday,"13,200"
11,tablet,Sunday,"12,171"
12,tablet,Sunday,"10,672"
13,tablet,Sunday,"10,466"
14,tablet,Sunday,"10,172"
15,tablet,Sunday,"10,789"
16,tablet,Sunday,"13,700"
17,tablet,Sunday,"16,081"
18,tablet,Sunday,"17,433"
19,tablet,Sunday,"18,051"
20,tablet,Sunday,"19,609"
21,tablet,Sunday,"18,403"
22,tablet,Sunday,"12,406"
23,tablet,Sunday,"4,968"
0,tablet,All days,"13,935"
1,tablet,All days,"5,381"
2,tablet,All days,"2,823"
3,tablet,All days,"2,675"
4,tablet,All days,"4,087"
5,tablet,All days,"19,639"
6,tablet,All days,"63,207"
7,tablet,All days,"86,284"
8,tablet,All days,"80,846"
9,tablet,All days,"65,882"
10,tablet,All days,"49,567"
11,tablet,All days,"46,743"
12,tablet,All days,"48,654"
13,tablet,All days,"49,506"
14,tablet,All days,"47,890"
15,tablet,All days,"51,035"
16,tablet,All days,"69,645"
17,tablet,All days,"96,986"
18,tablet,All days,"107,539"
19,tablet,All days,"101,602"
20,tablet,All days,"104,895"
21,tablet,All days,"101,776"
22,tablet,All days,"69,262"
23,tablet,All days,"30,516"
